UniqueId,Name,FareZones,HubNaptanCode,Wifi,OutsideStationUniqueId,BlueBadgeCarParking,BlueBadgeCarParkSpaces,TaxiRanksOutsideStation,MainBusInterchange,PierInterchange,NationalRailInterchange,AirportInterchange,EmiratesAirLineInterchange
HUBABW,Abbey Wood,4,HUBABW,FALSE,HUBABW-Outside,FALSE,,FALSE,,,,,
910GACTNCTL,Acton Central,3,,TRUE,910GACTNCTL-Outside,FALSE,,FALSE,,,,,
910GACTONML,Acton Main Line,3,,FALSE,910GACTONML-Outside,FALSE,,FALSE,,,,,
910GANERLEY,Anerley,4,,TRUE,910GANERLEY-Outside,FALSE,,FALSE,,,,,
910GBCKNHMH,Beckenham Hill,4,,FALSE,910GBCKNHMH-Outside,FALSE,,FALSE,,,,,
910GBELNGHM,Bellingham,3,,FALSE,910GBELNGHM-Outside,FALSE,,FALSE,,,,,
910GBHILLPK,Bush Hill Park,5,,TRUE,910GBHILLPK-Outside,TRUE,2,FALSE,,,,,
910GBICKLEY,Bickley,5,,FALSE,910GBICKLEY-Outside,FALSE,,FALSE,,,,,
910GBNHAM,Burnham,Outside,,FALSE,910GBNHAM-Outside,FALSE,,FALSE,,,,,
910GBRBY,Brondesbury,2,,TRUE,910GBRBY-Outside,FALSE,,FALSE,,,,,
910GBRBYPK,Brondesbury Park,2,,FALSE,910GBRBYPK-Outside,FALSE,,FALSE,,,,,
910GBRENTX,Brent Cross West Station,3,,FALSE,910GBRENTX-Outside,FALSE,,FALSE,,,,,
910GBROCKLY,Brockley,2,,TRUE,910GBROCKLY-Outside,FALSE,,FALSE,,,,,
910GBROMLYS,Bromley South,5,,FALSE,910GBROMLYS-Outside,FALSE,,FALSE,,,,,
910GBRTWOOD,Brentwood,9,,TRUE,910GBRTWOOD-Outside,TRUE,17,FALSE,,,,,
910GBRUCGRV,Bruce Grove,3,,TRUE,910GBRUCGRV-Outside,FALSE,,FALSE,,,,,
910GBTHNLGR,Bethnal Green,2,,TRUE,910GBTHNLGR-Outside,FALSE,,FALSE,,,,,
910GCAMHTH,Cambridge Heath,2,,FALSE,910GCAMHTH-Outside,FALSE,,FALSE,,,,,
910GCATFORD,Catford,3,,FALSE,910GCATFORD-Outside,FALSE,,FALSE,,,,,
910GCFPK,Crofton Park,3,,FALSE,910GCFPK-Outside,FALSE,,FALSE,,,,,
910GCHDWLHT,Chadwell Heath,5,,FALSE,910GCHDWLHT-Outside,FALSE,,FALSE,,,,,
910GCHESHNT,Cheshunt,8,,TRUE,910GCHESHNT-Outside,TRUE,5,FALSE,,,Partial,,
910GCHINGFD,Chingford,5,,TRUE,910GCHINGFD-Outside,TRUE,3,FALSE,,,,,
910GCLAPTON,Clapton,2|3,,TRUE,910GCLAPTON-Outside,FALSE,,FALSE,,,,,
910GCLDNNRB,Caledonian Road & Barnsbury,2,,FALSE,910GCLDNNRB-Outside,FALSE,,FALSE,,,,,
910GCLPHHS,Clapham High Street,2,,FALSE,910GCLPHHS-Outside,FALSE,,FALSE,,,,,
910GCMDNRD,Camden Road,2,,TRUE,910GCMDNRD-Outside,FALSE,,FALSE,,,,,
910GCNNB,Canonbury,2,,FALSE,910GCNNB-Outside,FALSE,,FALSE,,,,,
910GCOLSDNS,Coulsdon South,6,,TRUE,910GCOLSDNS-Outside,FALSE,,FALSE,,,,,
910GCRKLWD,Cricklewood,3,,TRUE,910GCRKLWD-Outside,FALSE,,FALSE,,,,,
910GCRLN,Charlton,3,,FALSE,910GCRLN-Outside,FALSE,,FALSE,,,,,
910GCROUCHH,Crouch Hill,3,,FALSE,910GCROUCHH-Outside,FALSE,,FALSE,,,,,
910GCRPNDPK,Carpenders Park,7,,TRUE,910GCRPNDPK-Outside,FALSE,,FALSE,,,,,
910GCRSHLTN,Carshalton,5,,TRUE,910GCRSHLTN-Outside,FALSE,,FALSE,,,,,
910GCTMSLNK,City Thameslink,1,,TRUE,910GCTMSLNK-Outside,FALSE,,FALSE,,,,,
910GDALS,Dalston Junction,2,,FALSE,910GDALS-Outside,FALSE,,FALSE,,,,,
910GDALSKLD,Dalston Kingsland,2,,FALSE,910GDALSKLD-Outside,FALSE,,FALSE,,,,,
910GDARTFD,Dartford,8,,FALSE,910GDARTFD-Outside,FALSE,,FALSE,,,,,
910GDENMRKH,Denmark Hill,2,,TRUE,910GDENMRKH-Outside,FALSE,,FALSE,,,Partial,,
910GDEPTFD,Deptford,2,,FALSE,910GDEPTFD-Outside,FALSE,,FALSE,,,,,
910GEDMNGRN,Edmonton Green,4,,TRUE,910GEDMNGRN-Outside,FALSE,,FALSE,,,,,
910GELTR,Elstree & Borehamwood,6,,TRUE,910GELTR-Outside,FALSE,,FALSE,,,,,
910GEMRSPKH,Emerson Park,6,,FALSE,910GEMRSPKH-Outside,FALSE,,FALSE,,,,,
910GENFLDTN,Enfield Town,5,,TRUE,910GENFLDTN-Outside,FALSE,,FALSE,,,,,
910GESTFLDS,Mitcham Eastfields,3,,FALSE,910GESTFLDS-Outside,FALSE,,FALSE,,,,,
910GFNCHLYR,Finchley Road & Frognal,2,,TRUE,910GFNCHLYR-Outside,FALSE,,FALSE,,,,,
910GFORESTH,Forest Hill,3,,FALSE,910GFORESTH-Outside,TRUE,1,FALSE,,,Partial,,
910GFRSTGT,Forest Gate,3,,FALSE,910GFRSTGT-Outside,FALSE,,FALSE,,,,,
910GGIDEAPK,Gidea Park,6,,TRUE,910GGIDEAPK-Outside,FALSE,,FALSE,,,,,
910GGODMAYS,Goodmayes,4,,TRUE,910GGODMAYS-Outside,FALSE,,FALSE,,,,,
910GGOSPLOK,Gospel Oak,2,,TRUE,910GGOSPLOK-Outside,FALSE,,FALSE,,,,,
910GHACKNYC,Hackney Central,2,,TRUE,910GHACKNYC-Outside,FALSE,,FALSE,,,,,
910GHACKNYW,Hackney Wick,2,,FALSE,910GHACKNYW-Outside,FALSE,,FALSE,,,,,
910GHAGGERS,Haggerston,2,,FALSE,910GHAGGERS-Outside,FALSE,,FALSE,,,,,
910GHAKNYNM,Hackney Downs,2,,TRUE,910GHAKNYNM-Outside,FALSE,,FALSE,,,,,
910GHANWELL,Hanwell,4,,FALSE,910GHANWELL-Outside,FALSE,,FALSE,,,,,
910GHAYESAH,Hayes & Harlington,5,,FALSE,910GHAYESAH-Outside,FALSE,,FALSE,,,,,
910GHDON,Hendon,3|4,,TRUE,910GHDON-Outside,FALSE,,FALSE,,,,,
910GHEDSTNL,Headstone Lane,5,,TRUE,910GHEDSTNL-Outside,FALSE,,FALSE,,,,,
910GHERNEH,Herne Hill,2|3,,FALSE,910GHERNEH-Outside,FALSE,,FALSE,,,,,
910GHGHMSPK,Highams Park,4,,TRUE,910GHGHMSPK-Outside,TRUE,2,FALSE,,,,,
910GHKBG,Hackbridge,4,,FALSE,910GHKBG-Outside,FALSE,,FALSE,,,,,
910GHMPSTDH,Hampstead Heath,2,,TRUE,910GHMPSTDH-Outside,FALSE,,FALSE,,,,,
910GHOMRTON,Homerton,2,,TRUE,910GHOMRTON-Outside,FALSE,,FALSE,,,,,
910GHONROPK,Honor Oak Park,3,,TRUE,910GHONROPK-Outside,FALSE,,FALSE,,,,,
910GHOXTON,Hoxton,1|2,,FALSE,910GHOXTON-Outside,FALSE,,FALSE,,,,,
910GHRGYGL,Harringay Green Lanes,3,,FALSE,910GHRGYGL-Outside,FALSE,,FALSE,,,,,
910GHRLDWOD,Harold Wood,6,,FALSE,910GHRLDWOD-Outside,TRUE,2,FALSE,,,,,
910GHTCHEND,Hatch End,6,,FALSE,910GHTCHEND-Outside,TRUE,2,FALSE,,,,,
910GHYDNSRD,Haydons Road,3,,FALSE,910GHYDNSRD-Outside,FALSE,,FALSE,,,,,
910GILFORD,Ilford,4,,FALSE,910GILFORD-Outside,FALSE,,FALSE,,,,,
910GIVER,Iver,Outside,,FALSE,910GIVER-Outside,FALSE,,FALSE,,,,,
910GKENR,Kensal Rise,2,,TRUE,910GKENR-Outside,FALSE,,FALSE,,,,,
910GKLBRNHR,Kilburn High Road,2,,TRUE,910GKLBRNHR-Outside,FALSE,,FALSE,,,,,
910GKNTSHTW,Kentish Town West,2,,FALSE,910GKNTSHTW-Outside,FALSE,,FALSE,,,,,
910GLANGLEY,Langley,Outside,,FALSE,910GLANGLEY-Outside,FALSE,,FALSE,,,,,
910GLBGHJN,Loughborough Junction,2,,TRUE,910GLBGHJN-Outside,FALSE,,FALSE,,,,,
910GLEYTNMR,Leyton Midland Road,3,,TRUE,910GLEYTNMR-Outside,FALSE,,FALSE,,,,,
910GLONFLDS,London Fields,2,,TRUE,910GLONFLDS-Outside,FALSE,,FALSE,,,,,
910GLYTNSHR,Leytonstone High Road,3,,FALSE,910GLYTNSHR-Outside,FALSE,,FALSE,,,,,
910GMANRPK,Manor Park,3|4,,TRUE,910GMANRPK-Outside,FALSE,,FALSE,,,,,
910GMAZEH,Maze Hill,3,,FALSE,910GMAZEH-Outside,FALSE,,FALSE,,,,,
910GMDNHEAD,Maidenhead,Outside,,TRUE,910GMDNHEAD-Outside,FALSE,,FALSE,,,,,
910GMLHB,Mill Hill Broadway,4,,TRUE,910GMLHB-Outside,FALSE,,FALSE,,,,,
910GMORDENS,Morden South,4,,FALSE,910GMORDENS-Outside,FALSE,,FALSE,,,,,
910GMRYLAND,Maryland,3,,TRUE,910GMRYLAND-Outside,FALSE,,FALSE,,,,,
910GNBARNET,New Barnet,5,,TRUE,910GNBARNET-Outside,FALSE,,FALSE,,,,,
910GNEWSGAT,New Southgate,4,,FALSE,910GNEWSGAT-Outside,FALSE,,FALSE,,,,,
910GNUNHEAD,Nunhead,2,,FALSE,910GNUNHEAD-Outside,FALSE,,FALSE,,,,,
910GOKLGHPK,Oakleigh Park,4,,TRUE,910GOKLGHPK-Outside,FALSE,,FALSE,,,,,
910GORPNGTN,Orpington,6,,FALSE,910GORPNGTN-Outside,FALSE,,FALSE,,,,,
910GPCKHMQD,Queens Road Peckham,2,,TRUE,910GPCKHMQD-Outside,FALSE,,FALSE,,,Partial,,
910GPCKHMRY,Peckham Rye,2,,FALSE,910GPCKHMRY-Outside,FALSE,,FALSE,,,,,
910GPENEW,Penge West,4,,TRUE,910GPENEW-Outside,TRUE,2,FALSE,,,,,
910GPETSWD,Petts Wood,5,,FALSE,910GPETSWD-Outside,FALSE,,FALSE,,,,,
910GPLMS,Plumstead,4,,FALSE,910GPLMS-Outside,FALSE,,FALSE,,,,,
910GPURLEY,Purley,6,,TRUE,910GPURLEY-Outside,FALSE,,FALSE,,,,,
910GRBRN,Ravensbourne,4,,FALSE,910GRBRN-Outside,FALSE,,FALSE,,,,,
910GRCTRYRD,Rectory Road,2,,TRUE,910GRCTRYRD-Outside,FALSE,,FALSE,,,,,
910GRDNGSTN,Reading,Outside,,FALSE,910GRDNGSTN-Outside,FALSE,,FALSE,,,,,
910GROMFORD,Romford,6,,TRUE,910GROMFORD-Outside,FALSE,,FALSE,,,Partial,,
910GRTHERHI,Rotherhithe,2,,FALSE,910GRTHERHI-Outside,FALSE,,FALSE,,,,,
910GSACTON,South Acton,3,,TRUE,910GSACTON-Outside,FALSE,,FALSE,,,,,
910GSBURY,Southbury,5,,TRUE,910GSBURY-Outside,FALSE,,FALSE,,,,,
910GSCROYDN,South Croydon,5,,TRUE,910GSCROYDN-Outside,FALSE,,FALSE,,,,,
910GSHENFLD,Shenfield,Outside,,TRUE,910GSHENFLD-Outside,FALSE,,FALSE,,,Partial,,
910GSHLIER,St Helier (London),4,,FALSE,910GSHLIER-Outside,FALSE,,FALSE,,,,,
910GSHMPSTD,South Hampstead,2,,FALSE,910GSHMPSTD-Outside,FALSE,,FALSE,,,,,
910GSHRDHST,Shoreditch High Street,1,,FALSE,910GSHRDHST-Outside,FALSE,,FALSE,,,,,
910GSHRTLND,Shortlands,4,,FALSE,910GSHRTLND-Outside,FALSE,,FALSE,,,,,
910GSIVRST,Silver Street,4,,TRUE,910GSIVRST-Outside,FALSE,,FALSE,,,,,
910GSLADEGN,Slade Green,6,,FALSE,910GSLADEGN-Outside,FALSE,,FALSE,,,,,
910GSLOUGH,Slough,Outside,,TRUE,910GSLOUGH-Outside,FALSE,,FALSE,,,,,
910GSMERTON,South Merton,4,,FALSE,910GSMERTON-Outside,FALSE,,FALSE,,,,,
910GSTHALL,Southall,4,,FALSE,910GSTHALL-Outside,FALSE,,FALSE,,,,,
910GSTJMSST,St James Street,3,,TRUE,910GSTJMSST-Outside,FALSE,,FALSE,,,,,
910GSTKNWNG,Stoke Newington,2,,TRUE,910GSTKNWNG-Outside,FALSE,,FALSE,,,,,
910GSTMFDHL,Stamford Hill,3,,TRUE,910GSTMFDHL-Outside,FALSE,,FALSE,,,,,
910GSTMRYC,St Mary Cray,6,,FALSE,910GSTMRYC-Outside,FALSE,,FALSE,,,,,
910GSTOTNHM,South Tottenham,3,,FALSE,910GSTOTNHM-Outside,FALSE,,FALSE,,,,,
910GSTRETHM,Streatham,3,,TRUE,910GSTRETHM-Outside,FALSE,,FALSE,,,,,
910GSURREYQ,Surrey Quays,2,,FALSE,910GSURREYQ-Outside,FALSE,,FALSE,,,,,
910GSUTTON,Sutton,5,,TRUE,910GSUTTON-Outside,FALSE,,FALSE,,,,,
910GSUTTONC,Sutton Common,4,,FALSE,910GSUTTONC-Outside,FALSE,,FALSE,,,,,
910GSVNKNGS,Seven Kings,4,,TRUE,910GSVNKNGS-Outside,FALSE,,FALSE,,,,,
910GSWLY,Swanley,8,,FALSE,910GSWLY-Outside,FALSE,,FALSE,,,,,
910GTAPLOW,Taplow,Outside,,FALSE,910GTAPLOW-Outside,FALSE,,FALSE,,,,,
910GTHBLDSG,Theobalds Grove,7,,TRUE,910GTHBLDSG-Outside,FALSE,,FALSE,,,,,
910GTOOTING,Tooting,3,,TRUE,910GTOOTING-Outside,FALSE,,FALSE,,,,,
910GTULSEH,Tulse Hill,3,,TRUE,910GTULSEH-Outside,FALSE,,FALSE,,,,,
910GTURKYST,Turkey Street,6,,TRUE,910GTURKYST-Outside,FALSE,,FALSE,,,,,
910GTWYFORD,Twyford,Outside,,TRUE,910GTWYFORD-Outside,FALSE,,FALSE,,,,,
910GUPRHLWY,Upper Holloway,2,,FALSE,910GUPRHLWY-Outside,FALSE,,FALSE,,,,,
910GWAPPING,Wapping,2,,FALSE,910GWAPPING-Outside,FALSE,,FALSE,,,,,
910GWATFDHS,Watford High Street,8,,TRUE,910GWATFDHS-Outside,FALSE,,FALSE,,,,,
910GWCOMBEP,Westcombe Park,3,,FALSE,910GWCOMBEP-Outside,FALSE,,FALSE,,,,,
910GWDGRNPK,Woodgrange Park,3|4,,TRUE,910GWDGRNPK-Outside,FALSE,,FALSE,,,,,
910GWDRYTON,West Drayton,6,,FALSE,910GWDRYTON-Outside,FALSE,,FALSE,,,,,
910GWDST,Wood Street,4,,TRUE,910GWDST-Outside,FALSE,,FALSE,,,,,
910GWEALING,West Ealing,3,,FALSE,910GWEALING-Outside,FALSE,,FALSE,,,,,
910GWHHRTLA,White Hart Lane,3,,TRUE,910GWHHRTLA-Outside,FALSE,,FALSE,,,,,
910GWHMDSTD,West Hampstead,2,HUBWHD,TRUE,910GWHMDSTD-Outside,FALSE,,FALSE,,,,,
910GWHMPSTM,West Hampstead Thameslink,2,HUBWHD,TRUE,910GWHMPSTM-Outside,FALSE,,FALSE,,,,,
910GWIMLCHS,Wimbledon Chase,3,,FALSE,910GWIMLCHS-Outside,FALSE,,FALSE,,,,,
910GWLTHQRD,Walthamstow Queen's Road,3,,FALSE,910GWLTHQRD-Outside,FALSE,,FALSE,,,,,
910GWNDSWRD,Wandsworth Road,2,,FALSE,910GWNDSWRD-Outside,FALSE,,FALSE,,,,,
910GWNSTDPK,Wanstead Park,3,,FALSE,910GWNSTDPK-Outside,FALSE,,FALSE,,,,,
910GWSUTTON,West Sutton,5,,FALSE,910GWSUTTON-Outside,FALSE,,FALSE,,,,,
940GZZALGWP,IFS Cloud Greenwich Peninsula,Outside,HUBNGW,FALSE,940GZZALGWP-Outside,FALSE,,FALSE,,Full,,,
940GZZALRDK,IFS Cloud Royal Docks,Outside,HUBRVC,FALSE,940GZZALRDK-Outside,FALSE,,FALSE,,,,,
940GZZCRADD,Addiscombe,Trams fare zone,,FALSE,940GZZCRADD-Outside,FALSE,,FALSE,,,,,
940GZZCRADV,Addington Village,Trams fare zone,,FALSE,940GZZCRADV-Outside,FALSE,,FALSE,,,,,
940GZZCRAMP,Ampere Way,Trams fare zone,,FALSE,940GZZCRAMP-Outside,FALSE,,FALSE,,,,,
940GZZCRARA,Arena,Trams fare zone,,FALSE,940GZZCRARA-Outside,FALSE,,FALSE,,,,,
940GZZCRAVE,Avenue Road,Trams fare zone,,FALSE,940GZZCRAVE-Outside,FALSE,,FALSE,,,,,
940GZZCRBED,Beddington Lane,Trams fare zone,,FALSE,940GZZCRBED-Outside,FALSE,,FALSE,,,,,
940GZZCRBGV,Belgrave Walk,Trams fare zone,,FALSE,940GZZCRBGV-Outside,FALSE,,FALSE,,,,,
940GZZCRBLA,Blackhorse Lane,Trams fare zone,,FALSE,940GZZCRBLA-Outside,FALSE,,FALSE,,,,,
940GZZCRBRD,Beckenham Road,Trams fare zone,,FALSE,940GZZCRBRD-Outside,FALSE,,FALSE,,,,,
940GZZCRCEN,George Street,Trams fare zone,,FALSE,940GZZCRCEN-Outside,FALSE,,FALSE,,,,,
940GZZCRCHR,Church Street,Trams fare zone,,FALSE,940GZZCRCHR-Outside,FALSE,,FALSE,,,,,
940GZZCRCOO,Coombe Lane,Trams fare zone,,FALSE,940GZZCRCOO-Outside,FALSE,,FALSE,,,,,
940GZZCRCTR,Centrale,Trams fare zone,,FALSE,940GZZCRCTR-Outside,FALSE,,FALSE,,,,,
940GZZCRDDR,Dundonald Road,Trams fare zone,,FALSE,940GZZCRDDR-Outside,FALSE,,FALSE,,,,,
940GZZCRFLD,Fieldway,Trams fare zone,,FALSE,940GZZCRFLD-Outside,FALSE,,FALSE,,,,,
940GZZCRGRA,Gravel Hill,Trams fare zone,,FALSE,940GZZCRGRA-Outside,FALSE,,FALSE,,,,,
